Movie Name,Year,Rating
The Shawshank Redemption,1994,9.3
The Dark Knight,2008,9.1
Inception,2010,8.8
Fight Club,1999,8.8
Interstellar,2014,8.7
Forrest Gump,1994,8.8
Pulp Fiction,1994,8.8
The Matrix,1999,8.7
The Godfather,1972,9.2
The Lord of the Rings: The Fellowship of the Ring,2001,8.9
The Lord of the Rings: The Return of the King,2003,9.0
Se7en,1995,8.6
The Dark Knight Rises,2012,8.4
The Lord of the Rings: The Two Towers,2002,8.8
Django Unchained,2012,8.5
Gladiator,2000,8.5
Inglourious Basterds,2009,8.4
The Silence of the Lambs,1991,8.6
Joker,2019,8.3
Saving Private Ryan,1998,8.6
